Country,Year,Status,Adult Mortality,infant deaths,Alcohol,BMI,GDP,Population,Schooling,Life expectancy
Country C,2001,Developing,174,139,11.87,21.9,11338.26,56750578,1.7,54.4
Country C,2014,Developing,290,370,6.19,26.9,34331.87,75601220,14.9,61.5
Country B,2009,Developed,570,426,7.51,62.9,64498.06,46807133,10.6,69.5
Country A,2015,Developed,145,96,0.71,21.7,23101.11,44278115,8.8,74.8
Country D,2012,Developing,122,696,4.22,39.1,44487.31,96381111,2.6,57.9
Country A,2008,Developed,27,487,5.53,27.5,40479.2,42813838,8.3,78.7
Country A,2002,Developing,66,341,9.39,48.2,5293.67,34763844,16.4,64.6
Country B,2014,Developing,101,869,6.97,79.1,62826.85,70319220,11.6,64.6
Country A,2008,Developing,388,491,9.12,69.6,61903.75,71699786,1.8,56.3
Country C,2012,Developed,94,499,10.7,28.9,96643.13,14162418,6.6,75.7
Country C,2006,Developed,67,431,0.65,35.8,29835.62,27347722,19.6,85.0
Country D,2005,Developed,250,188,3.88,74.3,41924.16,51651286,10.9,78.9
Country C,2010,Developed,142,81,2.57,72.9,40393.58,76927727,5.7,77.0
Country C,2011,Developing,267,811,2.82,21.2,91978.4,27674668,18.3,62.4
Country B,2010,Developed,552,179,7.55,68.0,40894.5,68965933,6.7,64.2
Country C,2002,Developed,215,957,11.1,30.8,44304.28,6408864,14.6,77.4
Country A,2010,Developed,489,897,4.1,48.1,25271.84,97175386,2.9,66.8
Country A,2006,Developing,496,860,12.37,10.4,166.76,42127754,3.1,47.5
Country C,2014,Developed,480,966,13.39,79.9,11089.54,60717765,11.2,71.1
Country D,2010,Developing,643,414,5.26,63.3,70403.72,22977165,4.8,47.9
Country D,2013,Developed,490,104,10.22,26.9,68265.43,63722207,1.0,65.5
Country D,2002,Developed,1,380,1.76,57.9,32286.93,65395004,18.5,83.6
Country C,2012,Developed,9,721,11.16,30.5,47326.97,77767960,1.1,75.0
Country D,2010,Developed,380,328,2.48,16.3,29772.97,11853578,14.3,76.1
Country C,2005,Developed,144,248,10.31,39.8,73105.09,10555524,6.7,73.5
Country A,2007,Developing,302,71,6.33,53.0,84257.81,32862271,18.7,59.7
Country D,2004,Developed,650,672,13.93,16.3,89915.57,53602192,19.7,73.5
Country D,2010,Developing,417,132,6.97,46.3,17428.44,77110612,6.7,56.3
Country D,2010,Developed,179,239,0.47,46.0,69516.92,95597165,11.8,78.4
Country A,2012,Developed,278,77,7.22,54.0,96302.32,40619249,15.5,75.4
Country C,2002,Developing,144,569,11.93,27.1,65078.64,50785339,2.5,59.6
Country A,2005,Developed,339,460,9.71,11.4,35129.87,51327163,14.2,72.8
Country A,2014,Developing,459,124,14.5,32.7,63612.84,47354049,18.1,59.3
Country B,2007,Developing,331,10,12.65,37.9,68858.18,46702396,3.6,58.2
Country D,2009,Developed,270,467,7.9,54.5,39734.88,33560276,16.8,79.2
Country C,2002,Developed,187,406,3.11,75.1,10443.9,7064702,2.3,72.3
Country C,2011,Developed,666,940,0.07,24.2,60685.65,64595605,11.4,67.1
Country B,2012,Developed,172,26,14.71,58.1,80223.97,9278579,6.8,72.8
Country B,2013,Developed,404,206,14.08,16.8,99757.77,76309534,9.4,74.9
Country A,2010,Developing,468,221,4.12,23.3,22344.68,97341556,6.0,55.7
Country B,2010,Developing,247,311,9.58,45.6,70053.88,60183601,5.2,59.3
Country C,2004,Developed,523,381,10.94,59.6,2852.92,48861294,14.9,71.8
Country C,2008,Developed,559,761,8.67,70.1,96984.04,92188531,4.5,65.3
Country C,2013,Developing,111,314,12.65,62.1,1305.82,66207524,8.2,60.4
Country A,2013,Developing,303,207,1.18,11.1,35911.56,50599631,5.5,59.6
Country D,2009,Developing,473,620,13.45,57.9,7686.46,46701569,4.8,49.3
Country D,2014,Developed,292,295,5.89,67.7,62115.75,31138255,12.5,76.5
Country A,2014,Developed,252,401,7.22,46.8,33983.0,86502865,0.9,67.3
Country C,2009,Developing,588,434,6.68,77.6,73307.75,2917844,15.8,55.7
Country C,2002,Developing,175,572,7.97,10.3,48663.49,95779760,10.9,61.9
Country A,2012,Developed,109,121,8.98,67.3,41969.37,61628046,16.6,78.6
Country A,2011,Developing,340,750,10.66,33.4,34884.21,71387227,4.3,53.6
Country B,2010,Developed,14,105,7.88,55.5,8658.61,19144306,14.2,83.3
Country A,2001,Developing,693,790,10.27,58.5,20522.24,86657231,8.4,53.3
Country D,2010,Developed,322,35,5.08,31.4,63928.3,64916903,1.5,69.9
Country A,2012,Developing,43,549,14.05,79.7,49700.33,94817463,15.0,65.3
Country C,2013,Developing,461,71,0.98,17.2,7055.44,8169425,15.2,56.4
Country C,2007,Developing,102,567,8.19,21.0,54417.97,71501901,5.4,59.2
Country C,2013,Developing,625,166,1.32,72.5,5461.56,45798385,18.3,56.6
Country D,2013,Developed,9,220,6.65,18.3,51197.11,46674368,15.3,83.0
Country D,2013,Developing,149,75,3.87,36.7,96497.9,62556258,6.1,62.5
Country B,2006,Developed,338,721,14.05,61.3,30769.09,49727226,4.8,70.5
Country A,2011,Developing,224,210,0.21,65.4,72364.14,54083002,8.8,58.6
Country B,2008,Developing,110,227,5.87,76.8,74567.93,88720618,5.9,58.5
Country A,2014,Developed,354,736,11.73,65.3,40515.71,99024568,4.3,69.7
Country A,2003,Developing,84,452,2.84,69.1,59349.55,97336181,8.0,59.0
Country D,2015,Developing,555,765,12.24,76.5,47231.01,1643249,0.5,47.9
Country C,2002,Developed,66,486,12.9,48.8,28372.13,60954096,8.0,75.2
Country A,2009,Developing,388,667,10.62,34.0,75486.47,29975516,4.4,53.9
Country D,2015,Developing,621,473,3.14,63.3,70297.52,16713395,5.3,51.1
Country B,2004,Developing,614,874,4.09,21.4,90059.86,41912915,1.7,49.3
Country C,2010,Developed,135,660,2.51,14.8,61831.71,94176355,11.8,79.6
Country B,2015,Developing,86,829,2.77,65.0,38902.58,74402517,9.4,61.1
Country B,2000,Developed,84,790,0.56,76.5,71415.06,79760489,15.0,83.7
Country D,2004,Developed,227,916,12.86,41.0,61922.67,25616081,19.7,81.6
Country C,2012,Developed,260,970,7.93,21.3,61680.59,51838443,2.4,72.3
Country A,2012,Developed,20,489,4.92,44.8,84991.28,2144963,5.4,79.6
Country B,2002,Developing,35,375,4.35,37.5,91051.33,30031597,13.6,66.5
Country A,2000,Developing,443,230,8.17,36.1,18065.15,47421957,4.7,53.3
Country C,2002,Developed,270,911,4.91,54.0,31439.32,326531,0.6,72.6
Country D,2004,Developing,406,701,12.96,22.2,65048.05,39807780,2.2,51.3
Country D,2004,Developing,508,224,3.17,36.6,55744.26,15076404,8.7,53.8
Country D,2014,Developing,304,474,13.24,70.8,65250.0,626846,8.6,60.5
Country A,2009,Developing,670,576,9.96,61.1,43329.81,92605781,19.4,55.9
Country A,2011,Developing,285,619,14.35,13.9,41273.28,677131,9.3,57.8
Country C,2007,Developing,548,79,0.24,46.0,11809.51,69737393,13.6,54.0
Country A,2010,Developed,29,644,0.9,16.4,62383.64,1841841,9.8,79.8
Country D,2000,Developing,391,685,7.52,77.0,17619.78,71877764,5.4,54.0
Country B,2006,Developed,416,575,13.69,27.1,67118.61,60336203,2.1,68.7
Country B,2004,Developing,142,209,10.96,75.3,96708.87,46078561,17.2,69.0
Country B,2002,Developed,646,296,9.34,68.4,25678.46,48088957,3.1,65.8
Country D,2003,Developing,656,609,0.48,48.6,14258.12,99433250,1.9,43.2
Country A,2002,Developed,341,171,5.32,33.5,2466.32,4600945,4.3,71.8
Country B,2015,Developed,245,88,5.19,70.1,37913.78,97276522,0.0,71.7
Country A,2007,Developing,5,873,8.14,20.7,21500.38,96464354,1.4,60.0
Country A,2003,Developing,449,225,3.87,22.6,49211.35,27336495,12.7,59.9
Country D,2002,Developed,266,142,4.01,25.7,52454.39,20338654,4.9,72.7
Country A,2001,Developing,491,707,9.32,51.8,34965.31,92255147,6.8,49.7
Country A,2002,Developing,239,690,14.17,32.0,75003.13,61643062,16.7,63.9
Country D,2006,Developing,250,53,9.91,79.2,90485.43,51064645,15.5,62.2
Country C,2005,Developing,291,195,10.03,23.7,21191.73,70304625,9.8,57.8
Country B,2009,Developed,543,728,14.79,66.4,83637.96,13568496,12.3,71.0
Country B,2011,Developing,632,488,2.31,16.7,13162.23,36901764,1.7,49.5
Country A,2012,Developing,79,844,0.52,34.7,22908.78,94993209,15.2,67.4
Country C,2004,Developing,521,297,11.19,27.1,56163.5,88130171,10.3,56.1
Country D,2007,Developing,450,429,6.59,78.4,30692.82,2973352,11.4,54.4
Country A,2010,Developed,556,536,6.44,11.8,4218.99,92890126,13.3,68.4
Country D,2000,Developing,144,578,3.39,60.5,29522.47,51476775,10.0,62.7
Country B,2002,Developing,120,674,7.61,27.3,90491.78,44537094,10.4,65.0
Country D,2001,Developing,565,499,6.64,66.8,17463.61,45720406,10.0,54.4
Country B,2001,Developed,577,623,5.19,31.8,76386.9,24246191,9.9,64.2
Country D,2011,Developing,176,840,6.65,23.1,72242.09,87882166,15.0,65.1
Country D,2010,Developed,70,205,5.76,58.5,10667.17,9705314,8.5,74.7
Country C,2011,Developing,633,917,14.1,28.0,32977.82,10040957,0.1,48.8
Country D,2000,Developing,203,879,14.7,44.0,18976.16,4326611,12.2,60.9
Country A,2004,Developed,180,136,12.6,19.2,2363.86,90176723,19.1,81.6
Country C,2004,Developed,593,407,14.86,60.7,17345.42,11674401,5.1,69.9
Country A,2002,Developing,567,278,3.99,38.5,20197.72,88827824,16.3,56.1
Country D,2011,Developing,691,444,12.65,19.8,16639.73,9059804,9.1,49.2
Country D,2011,Developing,610,676,6.11,61.9,9155.17,87890000,12.9,53.4
Country C,2008,Developing,110,940,11.19,17.2,52654.2,22759606,17.8,63.7
Country B,2011,Developing,424,270,3.03,50.2,32297.77,45837094,15.4,57.2
Country C,2005,Developed,665,440,12.18,52.5,90829.52,30824228,17.7,72.7
Country B,2013,Developing,503,227,1.26,75.1,18761.99,85263387,0.2,46.1
Country B,2009,Developed,406,126,4.07,20.6,60306.12,58354771,3.7,67.5
Country D,2013,Developed,637,269,12.33,55.7,90067.01,97978376,8.5,67.0
Country A,2015,Developing,91,819,11.21,36.7,4766.61,88826877,17.0,65.9
Country C,2005,Developing,294,759,7.52,38.1,51651.93,89924890,16.8,65.2
Country C,2009,Developed,393,851,10.1,45.1,45094.35,36484082,3.7,68.7
Country D,2005,Developed,37,486,2.79,26.4,92881.42,6119841,2.8,75.0
Country D,2013,Developing,517,547,10.02,42.3,66393.29,55588013,16.7,58.3
Country C,2001,Developed,662,154,0.13,58.1,34948.68,3215864,10.8,67.7
Country C,2010,Developed,316,656,12.5,42.0,71166.55,34818965,12.5,74.9
Country A,2014,Developed,172,985,7.75,13.0,58286.27,42514592,16.2,79.5
Country D,2009,Developing,406,936,14.16,28.0,34749.63,75963756,4.2,50.1
Country A,2009,Developing,262,771,7.18,34.6,78535.61,32552462,2.7,53.8
Country D,2007,Developed,484,898,6.5,34.8,66833.57,24222113,17.2,75.1
Country D,2005,Developed,27,18,6.76,15.7,591.36,76189143,2.2,77.6
Country A,2012,Developing,495,424,5.4,41.5,86520.2,14534112,1.8,53.6
Country B,2014,Developing,55,935,2.51,58.4,39739.33,13493360,5.5,58.8
Country B,2013,Developed,249,57,12.63,13.4,64562.49,80697284,6.3,71.5
Country B,2002,Developing,273,422,5.84,62.6,39706.99,85108990,4.8,59.9
Country D,2009,Developing,259,774,7.94,76.9,88142.14,61395862,14.8,61.5
Country A,2008,Developing,191,547,0.31,10.7,65101.0,85236875,19.5,67.2
Country B,2001,Developing,575,722,0.91,23.6,57959.65,78025222,4.0,57.2
Country C,2006,Developing,446,843,8.96,48.0,98027.46,15570942,15.6,61.0
Country B,2002,Developed,502,659,13.19,25.3,28100.02,60298926,0.9,65.0
Country A,2014,Developed,616,101,7.41,63.5,6572.17,76465634,2.4,63.6
Country D,2011,Developing,393,75,2.48,31.8,51625.24,85227157,10.3,58.3
Country A,2014,Developing,408,924,1.75,30.6,42430.58,58569249,20.0,58.0
Country D,2005,Developing,673,989,13.5,10.1,45456.29,91280267,19.0,56.9
Country A,2004,Developing,683,979,10.53,28.9,62029.48,33875627,2.2,46.9
Country A,2012,Developed,109,579,14.49,25.2,61531.41,43674880,4.8,75.1
Country C,2005,Developed,652,65,1.24,34.0,39256.82,4009902,18.9,71.6
Country B,2007,Developing,605,814,13.54,20.3,86294.56,46235830,3.0,52.5
Country B,2013,Developing,103,733,12.69,51.6,65163.28,35261075,14.9,65.9
Country A,2002,Developing,226,150,13.4,26.7,88996.67,77276437,0.0,55.9
Country B,2015,Developing,353,901,0.1,68.2,91319.73,14077300,12.6,60.7
Country C,2001,Developing,160,785,11.13,29.9,16772.84,90907941,9.9,61.9
Country A,2007,Developed,404,436,8.24,24.8,68072.16,59529978,9.4,72.9
Country B,2000,Developed,324,789,8.6,14.0,31785.31,55922547,16.6,76.6
Country B,2001,Developing,145,996,7.04,61.8,83651.08,6836055,1.6,60.2
Country D,2009,Developing,465,67,11.14,45.6,73298.52,87738177,7.5,57.0
Country B,2000,Developed,132,234,15.0,18.0,19914.83,26787863,8.9,78.2
Country B,2015,Developed,93,714,10.66,25.5,93876.14,4984456,2.5,69.8
Country D,2004,Developed,273,744,10.17,79.9,68363.73,56397750,1.7,70.7
Country A,2007,Developing,534,674,9.82,66.4,94865.88,68626060,3.6,47.3
Country A,2001,Developed,194,970,10.43,34.5,20231.02,96026989,4.8,74.3
Country C,2003,Developing,170,97,5.14,48.0,86977.02,902498,19.3,69.5
Country D,2003,Developing,460,8,4.81,39.1,66823.88,4023488,9.5,57.8
Country A,2010,Developed,11,926,11.77,12.5,55251.05,12005980,10.2,79.3
Country B,2010,Developing,181,503,0.81,64.5,82060.26,85744530,14.1,63.1
Country B,2006,Developed,232,760,11.39,60.2,63304.75,24802,13.7,73.5
Country B,2000,Developing,29,489,12.21,38.6,66976.54,55588249,10.1,64.5
Country C,2008,Developed,532,991,7.83,69.2,25404.37,28776155,6.8,67.4
Country A,2002,Developed,5,426,13.65,47.4,81714.52,98210526,6.6,75.7
Country D,2005,Developed,546,226,7.1,14.6,65047.76,59666992,1.2,62.7
Country A,2009,Developed,140,752,2.68,28.2,84446.7,89549258,18.0,78.8
Country D,2013,Developing,28,586,5.43,42.3,35185.12,8887978,15.4,71.4
Country D,2004,Developed,98,16,13.59,17.2,33204.43,60909810,12.5,79.5
Country A,2003,Developed,262,562,14.91,50.0,2439.1,14158715,7.9,75.2
Country B,2008,Developed,19,227,6.33,18.4,76872.1,81647166,11.6,82.3
Country B,2010,Developed,12,705,2.51,24.0,33064.92,76841181,9.7,82.8
Country D,2011,Developing,537,791,4.3,72.6,32754.87,89874565,5.5,55.2
Country B,2013,Developed,525,237,8.3,80.0,68884.02,35333331,6.0,69.4
Country C,2008,Developing,465,380,8.59,48.5,25324.25,42183391,17.5,56.4
Country C,2000,Developing,588,782,9.45,53.4,90906.6,9671755,12.7,56.5
Country D,2006,Developing,259,923,12.53,65.8,53829.7,40308426,0.0,54.0
Country B,2009,Developed,24,386,10.67,58.7,96949.25,80493662,6.5,75.2
Country D,2008,Developing,8,668,3.92,22.8,7713.05,69077321,6.8,62.5
Country C,2004,Developed,228,253,5.93,38.8,33715.7,92835499,14.1,77.8
Country C,2015,Developed,376,307,12.6,47.5,38177.96,57166859,14.0,69.3
Country C,2000,Developed,123,821,9.5,35.2,73055.55,37893095,9.3,78.0
Country A,2007,Developing,90,313,2.5,22.3,21335.58,35102098,19.0,70.0
Country C,2004,Developed,456,300,4.89,61.5,37565.82,21992940,17.4,74.8
Country B,2005,Developing,224,117,11.87,23.9,91068.72,78961603,17.3,62.0
Country A,2006,Developing,257,844,2.59,28.2,11499.36,72838772,7.0,59.6
Country C,2009,Developing,515,49,10.37,30.1,74545.13,49201867,8.6,53.9
Country B,2006,Developing,148,789,8.46,21.3,70263.39,50631664,8.4,64.7
Country C,2012,Developed,387,563,2.22,69.5,13093.98,79626574,8.8,67.1
Country B,2013,Developed,699,180,10.34,52.7,68864.64,22008261,17.8,64.8
Country B,2011,Developed,438,542,2.14,68.4,56999.89,67359776,5.0,68.5
Country C,2006,Developed,636,326,5.98,44.6,28787.86,30523812,16.0,69.4
Country C,2014,Developed,37,502,4.64,46.4,31148.56,22705588,10.3,79.9
Country A,2000,Developing,661,495,10.35,53.1,83307.58,61436569,5.0,50.1
Country C,2006,Developing,106,943,11.74,36.0,23139.95,36228665,10.5,66.2
Country B,2010,Developing,615,245,2.53,44.8,51302.41,36968329,3.9,49.2
Country D,2002,Developed,232,601,12.18,48.3,68130.92,31728188,2.2,72.4
Country A,2004,Developing,146,542,0.12,76.7,13033.67,82512936,16.8,62.8
Country B,2009,Developed,17,101,7.96,71.8,93238.77,8196500,14.0,86.6
Country B,2004,Developing,159,229,7.76,19.0,26100.4,37058366,4.1,61.1
Country D,2007,Developing,282,387,9.36,12.9,31917.55,58694475,18.8,65.5
Country C,2006,Developing,278,930,3.6,57.6,66628.27,63611312,0.5,53.1
Country B,2006,Developed,125,608,0.16,13.4,7865.26,70973153,6.7,78.6
Country D,2005,Developed,685,578,6.83,14.2,62779.89,15673305,0.4,63.5
Country D,2006,Developed,420,703,1.08,21.1,91607.19,91507269,2.8,69.3
Country C,2013,Developed,320,210,13.38,34.6,24946.6,49557527,3.6,70.2
Country D,2006,Developing,675,648,2.61,40.4,36222.68,96216889,16.2,52.5
Country D,2014,Developed,482,429,6.38,46.4,23271.78,59433129,19.9,75.2
Country D,2004,Developed,667,338,6.52,79.5,81885.94,65346652,17.3,68.7
Country D,2004,Developing,324,183,8.3,37.0,16802.4,38100966,12.7,60.6
Country D,2003,Developing,395,55,11.74,27.0,34695.49,64580575,14.5,57.1
Country D,2013,Developing,186,978,7.09,50.3,60122.13,54145163,10.5,60.1
Country B,2003,Developed,466,761,0.4,25.1,40485.22,72844742,8.5,65.8
Country A,2004,Developing,57,281,11.57,75.8,6593.66,41584902,13.8,66.8
Country C,2009,Developing,458,571,1.24,28.1,94774.68,56440319,19.5,61.5
Country A,2008,Developed,208,127,9.63,79.3,33823.15,96370133,0.6,70.1
Country C,2013,Developing,74,716,12.05,39.3,44592.84,51510652,6.3,56.8
Country A,2010,Developed,484,725,4.25,66.9,16796.16,8866887,6.6,65.2
Country C,2011,Developed,85,638,6.74,55.4,86541.76,47512805,8.3,77.7
Country D,2015,Developed,632,507,0.22,75.3,29178.31,10716549,12.5,70.6
Country A,2005,Developing,14,583,12.06,53.8,2031.31,35449440,10.3,62.9
Country A,2007,Developing,641,215,10.55,50.7,31674.44,37539367,0.4,49.8
Country C,2008,Developing,49,89,3.48,55.7,98406.77,72633562,8.2,66.5
Country C,2011,Developed,426,943,5.86,65.1,14726.95,55756390,12.4,73.6
Country B,2013,Developing,359,313,10.43,72.9,3168.69,52408668,10.1,60.0
Country D,2003,Developed,242,232,5.38,28.7,57838.65,18627598,17.4,76.6
Country D,2011,Developing,53,744,2.44,24.1,37198.07,28932968,8.0,59.4
Country B,2012,Developed,69,574,7.78,12.4,79507.78,29488529,0.3,77.5
Country C,2006,Developed,552,887,10.86,35.9,73202.18,71151668,5.7,64.8
Country D,2004,Developed,696,246,4.82,69.2,18582.63,29507517,2.7,64.7
Country C,2003,Developed,645,441,1.84,14.9,56485.0,61634021,5.0,65.4
Country D,2011,Developed,56,898,12.44,47.7,3291.98,86913516,7.2,81.0
Country A,2006,Developed,456,134,3.8,58.6,43975.85,12899050,13.5,74.2
Country A,2002,Developed,255,947,7.7,68.6,71419.62,71034148,6.5,70.8
Country D,2000,Developed,5,881,10.37,50.8,41525.13,64508826,17.7,83.1
Country D,2006,Developed,581,957,4.76,23.0,11839.52,41876875,6.0,67.8
Country D,2008,Developed,52,1,9.73,77.5,6200.28,92000086,2.7,74.2
Country B,2001,Developed,329,160,6.9,16.6,85373.26,92954324,3.4,72.2
Country D,2015,Developed,98,139,8.56,63.8,89138.13,58269746,18.7,82.6
Country B,2006,Developing,161,303,8.86,16.1,34342.09,57273281,9.1,63.5
Country B,2009,Developing,406,459,12.36,20.0,16459.02,60125033,8.1,58.2
Country A,2001,Developed,577,820,9.85,72.9,97862.69,51120132,1.4,64.8
Country D,2012,Developing,327,713,3.97,62.7,54609.09,68698128,14.7,60.5
Country A,2012,Developed,243,124,0.9,35.6,47691.67,92861956,13.9,76.0
Country A,2002,Developing,504,936,0.04,54.7,74173.69,39408083,7.5,51.4
Country B,2012,Developed,367,884,13.57,42.0,16928.49,61368395,13.8,78.0
Country C,2009,Developing,442,346,14.13,14.7,58019.97,42764583,7.3,55.0
Country B,2013,Developed,154,593,1.42,60.5,89021.73,63391265,1.5,72.2
Country A,2011,Developing,234,953,7.31,63.4,2355.7,8511986,14.8,62.3
Country B,2009,Developed,652,323,2.28,71.8,67310.32,46220142,19.3,71.5
Country B,2002,Developing,333,999,14.23,47.8,55164.82,50795316,13.0,58.9
Country B,2011,Developing,495,406,3.71,57.1,95082.54,41790628,5.5,51.7
Country D,2012,Developing,115,468,7.53,40.7,25906.92,15383621,5.4,57.7
Country B,2003,Developed,369,163,2.49,32.3,85896.22,73634621,18.6,77.0
Country A,2005,Developing,333,861,5.0,38.8,30933.12,82104476,6.1,59.0
Country B,2002,Developing,130,239,4.01,73.8,43014.86,37286184,15.4,63.7
Country D,2012,Developed,178,212,7.14,21.5,21368.09,14442862,12.9,79.0
Country A,2008,Developed,95,982,6.3,27.4,86365.92,38736168,11.9,80.2
Country B,2001,Developing,317,148,4.97,52.4,19581.2,31084065,3.6,56.3
Country A,2006,Developed,101,583,1.6,18.1,85908.35,94925824,0.7,77.1
Country D,2005,Developing,196,102,7.27,72.4,45588.56,36723479,9.8,62.2
Country C,2013,Developing,208,182,12.75,13.3,83516.8,83137771,19.8,65.9
Country D,2014,Developed,607,504,10.96,62.9,26485.63,58117061,3.9,65.5
Country D,2001,Developing,473,695,10.81,36.2,13316.38,42355567,10.7,57.6
Country A,2010,Developing,615,524,5.5,13.6,55518.38,63860184,13.4,57.9
Country A,2002,Developed,8,379,10.63,69.0,50968.23,82548924,9.7,79.2
Country C,2005,Developed,136,743,6.99,54.8,35692.91,23642,10.1,77.7
Country C,2009,Developing,610,661,2.26,10.6,66299.0,92083627,13.2,60.5
Country C,2003,Developing,261,774,6.29,28.7,9559.53,74348195,16.3,62.8
Country D,2000,Developing,147,23,2.0,34.6,62219.01,37330667,6.7,60.2
Country D,2000,Developed,458,700,1.73,32.6,21215.02,50418287,18.0,73.2
Country C,2002,Developing,697,132,0.36,44.9,12939.01,75219409,9.7,51.1
Country C,2007,Developing,438,49,4.25,46.9,90965.34,52113985,13.2,57.7
Country C,2010,Developing,413,957,4.97,37.8,46006.59,52767223,2.1,53.6
Country B,2003,Developed,500,694,10.49,33.2,76353.52,71469690,9.8,70.4
Country B,2010,Developing,232,25,8.07,45.3,8957.24,80954728,0.3,51.6
Country C,2000,Developing,101,649,12.88,12.4,5793.61,49501772,7.8,59.3
Country D,2007,Developed,147,10,2.66,55.2,49510.48,18987401,1.1,72.3
Country A,2009,Developed,507,807,4.0,52.4,31589.34,98799556,17.9,73.0
Country D,2005,Developing,558,101,14.12,29.5,540.48,51850434,13.5,53.5
Country A,2000,Developed,104,10,6.67,22.6,18370.3,3145766,15.8,77.1
Country C,2011,Developing,336,111,11.84,15.1,21916.61,73143621,9.4,61.2
Country B,2009,Developing,446,605,7.39,51.1,28886.21,39535981,17.0,62.8
Country B,2009,Developed,444,771,7.07,49.8,87759.68,70893323,17.5,76.4
Country A,2005,Developing,118,769,2.23,47.3,42089.22,73825632,7.1,60.0
Country C,2000,Developing,517,972,12.77,79.0,67959.27,71945257,7.5,56.3
Country B,2014,Developing,567,166,1.18,47.2,1888.69,91097182,10.2,52.3
Country C,2009,Developing,531,720,4.66,60.5,81401.87,40683217,0.8,50.7
Country C,2009,Developing,88,406,10.11,17.9,24070.88,38099951,19.9,66.6
Country A,2002,Developed,629,44,7.61,30.9,30938.48,46594762,7.2,66.1
Country C,2001,Developing,476,841,13.22,29.3,4573.38,44626946,9.4,56.2
Country C,2003,Developing,682,716,0.6,50.3,40998.81,40326409,15.1,50.9
Country A,2001,Developed,485,937,9.74,33.2,85265.05,50467843,6.0,67.5
Country B,2010,Developed,662,358,7.17,54.9,37904.49,8851590,4.0,64.3
Country D,2012,Developed,295,553,2.32,58.3,90865.1,42184824,2.5,67.8
Country C,2004,Developed,381,284,11.15,12.4,86751.39,70274490,10.6,70.8
Country A,2003,Developed,283,399,6.18,54.8,6243.0,14535377,0.1,69.9
Country B,2005,Developed,686,450,7.98,18.2,30561.93,2532435,14.2,67.3
Country C,2013,Developed,639,611,14.51,42.6,91046.21,83146594,9.2,64.4
Country D,2014,Developed,156,443,7.3,60.9,3029.4,25546142,10.6,77.2
Country B,2006,Developing,180,387,12.35,59.2,76592.54,15017712,5.3,59.9
Country A,2011,Developing,87,355,11.55,31.0,90647.48,47118277,3.6,64.5
Country C,2015,Developed,406,783,9.94,29.1,77060.62,49423136,14.0,74.0
Country A,2001,Developing,496,424,13.45,40.8,74394.24,38067053,4.2,52.2
Country D,2001,Developing,267,5,3.78,23.2,84343.41,65547125,15.6,61.9
Country D,2007,Developing,594,553,12.31,78.2,66595.67,95050630,4.1,52.5
Country A,2012,Developing,64,895,5.67,34.1,42338.46,11085213,12.3,65.5
Country C,2012,Developing,119,440,12.19,74.6,6322.42,85207026,12.9,65.7
Country A,2008,Developed,341,923,7.41,73.6,78807.35,24528684,10.1,73.7
Country B,2004,Developed,313,355,12.87,35.5,90530.1,74192454,19.9,80.5
Country A,2015,Developing,163,918,13.42,27.8,51183.07,98865230,7.5,61.2
Country D,2006,Developed,505,764,8.97,64.0,53274.42,66707917,17.7,70.9
Country C,2012,Developing,293,587,7.62,26.1,40358.53,58383445,3.4,55.3
Country C,2011,Developing,690,553,11.75,46.5,85695.42,18092811,6.7,49.0
Country D,2008,Developing,377,862,4.01,17.7,1529.59,74360426,2.9,54.8
Country D,2013,Developed,542,267,0.24,37.0,62473.63,23799462,12.1,70.5
Country B,2000,Developing,401,891,6.11,15.5,90745.94,39781138,12.8,61.0
Country D,2007,Developing,673,991,7.62,29.8,10367.07,8257604,9.1,51.9
Country D,2009,Developing,400,216,4.47,56.6,95918.5,97980168,14.4,60.1
Country D,2009,Developed,399,63,5.76,79.4,96769.43,55198389,17.4,73.7
Country C,2008,Developing,487,441,2.0,27.8,92982.41,38661965,15.5,58.3
Country D,2008,Developed,515,690,4.17,43.1,46281.48,38346622,4.8,66.7
Country A,2009,Developing,24,540,3.61,41.4,38327.85,17279650,6.4,58.6
Country A,2006,Developing,59,274,4.52,22.9,70609.48,62842680,7.6,60.0
Country C,2015,Developing,240,469,4.49,52.7,31903.09,31808664,4.1,58.7
Country B,2011,Developed,311,215,8.39,60.7,6881.0,3213726,7.2,73.7
Country B,2011,Developing,321,864,3.77,20.3,90147.15,39246642,4.8,54.8
Country C,2011,Developing,672,995,14.12,63.0,63503.86,70426243,19.9,55.4
Country A,2011,Developing,481,812,7.67,59.0,20755.09,10384093,15.7,56.0
Country C,2009,Developing,572,999,1.94,23.8,1889.94,8991406,17.2,59.1
Country D,2015,Developing,414,565,4.2,55.4,72365.42,53315046,18.4,59.3
Country C,2014,Developing,322,877,10.95,37.6,85287.35,16026708,13.3,59.1
Country B,2002,Developed,402,591,0.21,57.7,40594.48,30281551,3.5,70.7
Country A,2012,Developing,59,193,14.07,44.7,8135.78,24860719,15.2,68.4
Country B,2012,Developed,53,711,6.68,13.4,64879.69,72687056,0.3,73.7
Country B,2004,Developing,64,12,7.82,65.1,29728.06,5056196,2.3,59.9
Country A,2012,Developed,633,221,14.83,48.9,14437.48,85916928,0.6,63.6
