Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
35,male,1,rent,moderate,moderate,14288,23,business,good
41,male,2,rent,quite rich,rich,900,21,radio/TV,good
30,male,1,rent,little,moderate,16667,56,education,bad
50,female,1,rent,rich,moderate,19666,42,education,bad
27,male,2,own,moderate,little,13369,19,car,good
24,male,3,free,rich,moderate,7894,35,radio/TV,bad
54,female,0,rent,moderate,little,17744,65,education,bad
49,male,1,rent,little,moderate,8903,58,car,good
62,female,3,own,little,rich,14666,41,furniture/equipment,good
39,female,0,rent,rich,little,2124,35,education,bad
33,male,2,own,moderate,rich,19673,69,education,good
41,male,1,own,quite rich,rich,10679,19,domestic appliances,bad
69,female,1,free,moderate,moderate,12463,28,business,bad
71,female,2,rent,quite rich,moderate,16469,53,furniture/equipment,good
31,male,1,free,rich,rich,17890,33,radio/TV,good
28,female,0,own,rich,moderate,3490,12,car,good
36,male,0,rent,little,moderate,16052,47,furniture/equipment,bad
40,male,2,own,quite rich,moderate,16372,15,radio/TV,bad
51,male,1,own,moderate,rich,11153,49,education,good
57,male,3,own,little,little,1659,18,domestic appliances,good
30,female,1,rent,rich,little,10870,38,car,good
56,female,2,own,little,rich,2082,37,car,good
61,male,3,own,moderate,moderate,18658,53,furniture/equipment,bad
45,male,0,rent,moderate,moderate,5986,10,business,good
57,female,0,free,rich,little,5243,66,radio/TV,good
33,female,3,own,little,rich,11353,8,domestic appliances,bad
67,female,3,free,quite rich,rich,14647,29,domestic appliances,good
68,female,2,free,quite rich,moderate,3463,39,furniture/equipment,good
45,female,1,free,quite rich,moderate,10605,47,business,good
21,male,0,free,moderate,moderate,6458,25,business,bad
45,male,1,free,little,rich,9894,46,business,good
74,male,0,free,quite rich,little,6703,25,car,good
29,male,1,rent,little,rich,19387,11,radio/TV,bad
33,female,0,rent,rich,rich,11343,62,radio/TV,good
70,female,1,free,quite rich,rich,13991,47,furniture/equipment,good
71,male,2,rent,little,little,11513,30,education,bad
66,male,0,rent,moderate,moderate,555,46,furniture/equipment,good
53,female,2,free,rich,moderate,1634,46,radio/TV,good
37,male,0,free,rich,rich,18208,8,car,good
43,male,0,own,rich,rich,1122,48,furniture/equipment,bad
73,female,0,rent,rich,little,8610,51,education,good
73,female,1,free,moderate,little,10045,62,domestic appliances,good
43,female,0,rent,moderate,moderate,17664,56,furniture/equipment,good
39,male,2,rent,quite rich,rich,10176,10,business,good
73,female,1,rent,moderate,little,15741,20,education,good
26,female,1,own,moderate,little,7155,44,business,good
22,male,0,free,rich,rich,4692,43,car,bad
34,female,3,rent,moderate,rich,15540,44,radio/TV,bad
66,male,1,free,rich,rich,3917,57,furniture/equipment,bad
51,male,0,rent,little,rich,17910,8,furniture/equipment,bad
19,male,2,free,little,rich,6803,34,business,good
70,male,3,free,little,rich,17176,36,business,bad
72,female,1,free,little,little,5058,71,radio/TV,good
24,male,3,rent,little,rich,7981,50,furniture/equipment,good
53,female,1,own,little,moderate,833,27,radio/TV,good
30,female,3,free,little,rich,17144,15,business,good
37,female,3,own,rich,moderate,9388,26,domestic appliances,bad
47,female,2,free,rich,moderate,7945,22,business,good
47,female,3,own,rich,moderate,3723,12,education,good
28,male,2,free,rich,rich,1448,41,business,good
48,female,0,own,moderate,rich,4245,35,business,good
20,male,1,free,moderate,moderate,12363,34,domestic appliances,bad
19,male,2,free,quite rich,rich,4785,38,radio/TV,good
65,male,1,own,moderate,little,6121,64,education,good
20,female,2,free,rich,little,19937,25,education,bad
73,female,1,rent,rich,little,2697,34,furniture/equipment,good
32,female,2,free,little,little,9658,58,domestic appliances,bad
34,female,1,free,little,rich,7094,6,car,good
65,male,0,rent,quite rich,moderate,17924,39,furniture/equipment,good
69,female,1,rent,moderate,rich,12663,49,furniture/equipment,bad
24,female,0,rent,rich,little,15419,19,furniture/equipment,good
65,male,0,own,moderate,rich,7799,42,education,good
22,male,0,rent,quite rich,rich,8943,40,radio/TV,good
51,male,3,own,little,little,11313,64,business,bad
50,male,1,rent,rich,moderate,17020,29,education,bad
71,male,3,own,little,rich,8853,70,business,bad
62,male,3,rent,rich,rich,2256,11,business,good
33,male,1,rent,little,little,5463,43,car,good
54,female,0,free,little,moderate,18781,6,furniture/equipment,bad
20,female,3,rent,quite rich,little,4118,46,car,good
64,male,3,free,moderate,little,9780,36,furniture/equipment,good
65,male,2,rent,little,rich,14610,41,education,bad
60,female,1,rent,rich,moderate,6887,59,business,good
74,male,3,free,moderate,little,16986,36,car,bad
68,male,1,free,moderate,rich,5214,34,domestic appliances,good
67,male,1,own,little,little,19822,8,education,bad
38,male,3,free,little,rich,1552,63,education,good
58,male,1,own,little,moderate,7999,66,domestic appliances,good
25,female,0,rent,moderate,little,1096,11,furniture/equipment,good
39,male,3,free,quite rich,moderate,13640,25,business,good
68,male,3,free,little,moderate,13985,66,furniture/equipment,good
71,male,3,rent,moderate,rich,15126,51,furniture/equipment,bad
22,female,2,rent,moderate,little,14217,18,education,bad
34,female,2,rent,rich,little,19158,28,furniture/equipment,good
54,male,2,rent,little,rich,18512,36,radio/TV,good
31,male,2,free,quite rich,rich,4355,9,domestic appliances,good
56,male,3,rent,rich,moderate,3069,71,domestic appliances,good
58,male,0,rent,little,little,8327,21,business,good
45,female,1,free,rich,little,12272,36,domestic appliances,good
48,female,1,own,little,rich,9500,53,furniture/equipment,bad
34,male,3,free,rich,rich,19123,48,furniture/equipment,good
52,male,0,own,quite rich,rich,19898,9,car,bad
57,female,1,rent,rich,little,12043,67,business,bad
39,female,0,free,rich,little,18927,53,business,good
62,male,3,rent,rich,moderate,17308,33,domestic appliances,bad
65,male,2,free,little,rich,10320,21,furniture/equipment,good
70,male,0,own,little,moderate,6507,35,radio/TV,good
46,female,1,free,quite rich,little,1261,70,car,good
27,female,1,rent,rich,moderate,16866,19,radio/TV,bad
35,female,1,free,moderate,moderate,19661,39,furniture/equipment,bad
52,female,2,rent,rich,moderate,2423,61,business,good
61,male,0,free,moderate,rich,3634,34,business,good
33,female,0,own,moderate,little,18962,30,radio/TV,good
67,female,1,free,rich,rich,1047,71,education,good
66,female,0,free,moderate,moderate,7371,45,furniture/equipment,good
24,male,1,free,moderate,rich,13844,20,business,bad
47,female,0,free,rich,little,15236,37,domestic appliances,good
36,female,2,own,little,little,7940,25,education,bad
72,female,2,rent,rich,moderate,12919,58,business,bad
40,male,3,free,quite rich,moderate,19223,54,domestic appliances,bad
25,female,3,free,moderate,rich,18097,6,business,bad
34,male,3,free,quite rich,little,11804,44,education,good
38,male,0,own,moderate,little,19744,66,radio/TV,good
43,female,2,rent,little,rich,17681,60,furniture/equipment,good
74,male,2,rent,moderate,little,5121,7,education,good
45,female,2,free,rich,moderate,13604,22,education,good
56,male,1,free,moderate,moderate,5539,34,business,good
50,male,0,rent,quite rich,rich,18195,9,domestic appliances,bad
57,female,0,free,rich,rich,16081,69,education,bad
36,female,3,free,quite rich,rich,6536,48,furniture/equipment,good
46,male,1,free,little,moderate,17208,17,radio/TV,bad
37,male,1,own,quite rich,rich,14166,55,domestic appliances,good
37,male,2,own,quite rich,little,10184,66,radio/TV,good
27,male,3,rent,quite rich,rich,13012,56,radio/TV,bad
29,female,0,own,rich,little,10800,10,furniture/equipment,good
73,male,1,own,little,moderate,4274,33,business,good
50,male,2,rent,little,little,8972,15,domestic appliances,bad
73,female,0,own,little,little,17624,57,domestic appliances,bad
42,male,2,rent,quite rich,little,2370,22,furniture/equipment,good
42,female,0,free,rich,moderate,19075,70,domestic appliances,good
70,female,2,rent,rich,little,6127,26,education,good
21,female,0,rent,rich,little,10970,59,car,bad
21,male,3,rent,quite rich,rich,19154,54,car,bad
26,female,0,free,little,rich,17585,27,car,bad
32,female,0,free,quite rich,rich,14909,69,radio/TV,good
73,female,0,free,rich,little,1214,41,domestic appliances,bad
43,male,2,rent,quite rich,little,2384,26,furniture/equipment,good
32,male,1,rent,moderate,moderate,2494,61,domestic appliances,bad
43,male,0,rent,little,little,3053,53,furniture/equipment,good
45,male,0,rent,little,little,4161,23,domestic appliances,bad
24,female,3,rent,rich,moderate,11466,20,radio/TV,bad
49,female,0,rent,quite rich,little,1658,49,education,good
29,female,3,rent,rich,moderate,13445,50,car,bad
52,male,0,own,quite rich,moderate,11420,41,car,bad
69,female,2,free,moderate,rich,7913,45,domestic appliances,good
49,male,1,own,little,little,10059,56,radio/TV,good
26,male,1,free,little,rich,7363,35,car,good
31,male,1,rent,quite rich,little,8392,31,domestic appliances,good
30,female,2,own,little,rich,14028,36,business,bad
73,female,3,rent,quite rich,moderate,18022,61,domestic appliances,bad
61,male,1,own,rich,moderate,4617,66,furniture/equipment,good
50,female,2,own,moderate,moderate,12929,22,car,good
49,male,2,rent,quite rich,moderate,11036,29,car,good
36,female,0,own,moderate,little,13262,9,business,good
47,male,3,own,rich,little,10188,14,education,good
33,male,2,free,rich,rich,11943,7,domestic appliances,good
29,male,3,rent,rich,little,11301,40,education,good
27,female,1,rent,quite rich,little,4228,43,domestic appliances,good
19,female,1,own,moderate,rich,15861,50,business,bad
35,female,1,rent,moderate,moderate,4740,20,education,good
30,female,0,free,little,rich,17486,47,radio/TV,good
46,female,0,free,quite rich,rich,6627,8,business,good
41,male,3,rent,little,moderate,10153,36,domestic appliances,bad
55,female,3,rent,little,rich,14817,57,furniture/equipment,good
29,male,0,free,quite rich,rich,16038,46,furniture/equipment,bad
46,female,2,rent,little,rich,17690,62,furniture/equipment,good
39,female,3,own,little,little,2510,47,domestic appliances,good
53,female,3,rent,little,moderate,17542,58,car,bad
18,male,1,own,rich,moderate,17083,61,business,bad
60,female,3,free,quite rich,rich,17202,58,business,good
72,male,3,rent,rich,little,3748,37,education,good
57,female,2,free,little,moderate,14211,59,business,bad
51,male,3,rent,little,moderate,10768,42,business,bad
51,male,2,own,rich,rich,12751,13,education,good
65,male,1,rent,little,rich,1558,16,business,good
50,male,0,free,quite rich,rich,16152,59,business,good
21,female,1,own,moderate,moderate,967,65,radio/TV,good
55,female,2,rent,rich,rich,3595,15,domestic appliances,good
47,male,2,free,moderate,rich,15620,47,education,good
70,female,3,free,moderate,rich,14203,42,radio/TV,bad
69,male,3,rent,moderate,little,19352,63,car,good
63,female,0,free,rich,rich,9345,64,education,good
37,female,2,own,little,moderate,9892,29,domestic appliances,good
43,female,2,rent,quite rich,rich,18089,33,business,good
32,male,1,own,little,moderate,7285,42,business,good
24,female,0,free,quite rich,little,781,26,radio/TV,bad
24,male,1,free,little,little,2517,38,radio/TV,bad
67,female,3,free,moderate,rich,16966,7,car,good
46,male,3,own,moderate,moderate,16380,33,car,good
40,female,1,free,quite rich,rich,13986,20,domestic appliances,bad
51,male,3,rent,rich,rich,9763,6,business,good
37,male,1,rent,little,moderate,14065,33,furniture/equipment,bad
32,male,2,free,moderate,moderate,12494,55,car,good
50,female,2,rent,quite rich,moderate,10150,40,business,bad
70,male,3,own,little,moderate,11968,33,car,bad
34,female,0,own,quite rich,moderate,17034,14,education,bad
37,male,2,free,rich,little,12072,29,radio/TV,bad
74,male,3,rent,rich,little,11479,68,business,bad
30,male,0,rent,little,little,4241,9,car,good
61,female,3,free,rich,moderate,17691,61,radio/TV,bad
41,female,1,own,little,moderate,8183,46,furniture/equipment,good
71,female,3,free,little,moderate,14833,53,car,bad
64,female,1,rent,rich,rich,19627,63,business,bad
73,female,2,rent,quite rich,little,8483,44,education,good
54,female,2,free,quite rich,little,13338,30,radio/TV,good
24,female,3,own,little,rich,16660,65,radio/TV,bad
25,male,0,own,moderate,rich,2868,52,education,good
40,male,3,free,little,little,9612,66,business,bad
31,female,3,rent,quite rich,moderate,6889,32,domestic appliances,good
21,female,2,own,little,little,7292,47,furniture/equipment,good
38,female,2,free,quite rich,moderate,11641,57,domestic appliances,bad
63,female,3,rent,rich,little,2268,53,education,good
27,female,2,own,little,little,13202,37,furniture/equipment,bad
39,male,1,own,little,rich,16490,29,business,bad
47,female,3,free,rich,rich,19532,8,car,bad
47,female,2,rent,rich,moderate,2297,32,car,good
33,female,3,own,moderate,moderate,18192,45,domestic appliances,good
28,male,2,free,rich,little,1972,28,business,bad
39,male,1,own,moderate,rich,4302,12,furniture/equipment,good
46,male,1,rent,rich,moderate,1901,42,domestic appliances,good
42,male,3,own,quite rich,moderate,2028,12,education,good
31,female,1,rent,little,moderate,933,27,domestic appliances,bad
31,male,1,own,rich,little,9721,22,business,good
19,male,2,own,quite rich,moderate,18644,24,business,bad
71,male,3,free,rich,moderate,14187,44,car,bad
30,male,2,own,little,rich,19216,41,education,bad
20,male,2,rent,rich,rich,8755,20,car,bad
47,female,0,free,rich,rich,7693,68,furniture/equipment,good
35,male,1,rent,little,little,5742,34,furniture/equipment,good
71,male,2,rent,rich,rich,17077,65,radio/TV,bad
53,male,2,free,little,rich,18305,61,business,good
38,female,2,rent,moderate,rich,3516,45,education,good
70,female,1,own,rich,rich,6159,21,education,bad
36,female,1,free,quite rich,moderate,13119,38,car,bad
33,female,1,own,rich,little,7264,21,domestic appliances,good
45,female,3,own,little,moderate,11537,35,domestic appliances,good
21,female,2,rent,little,moderate,8069,71,car,bad
68,female,1,rent,quite rich,little,15087,49,domestic appliances,bad
72,female,2,own,quite rich,moderate,15436,43,education,bad
32,male,3,free,little,rich,10306,56,car,bad
18,male,0,own,moderate,little,965,65,domestic appliances,good
65,female,3,own,moderate,moderate,17525,23,radio/TV,bad
64,male,1,rent,little,moderate,17134,10,business,bad
33,female,1,rent,moderate,rich,19274,45,radio/TV,bad
71,male,3,own,quite rich,moderate,12944,11,domestic appliances,good
37,male,2,own,moderate,moderate,9144,17,furniture/equipment,good
50,female,1,rent,quite rich,moderate,18967,17,education,bad
34,male,1,own,rich,little,18828,27,radio/TV,good
22,female,3,rent,quite rich,little,10451,54,radio/TV,bad
22,female,2,own,rich,moderate,10765,55,car,bad
56,male,3,free,quite rich,moderate,9327,9,car,good
30,female,3,free,quite rich,rich,18225,55,car,bad
61,male,2,own,moderate,little,10693,8,domestic appliances,good
53,male,2,rent,quite rich,little,4690,21,furniture/equipment,good
47,female,0,own,little,little,2033,19,radio/TV,good
74,female,3,own,rich,moderate,13363,69,business,bad
21,female,2,rent,rich,rich,5635,46,car,bad
40,female,1,own,quite rich,rich,4367,64,furniture/equipment,good
38,female,0,rent,little,moderate,7232,7,domestic appliances,bad
38,male,3,own,quite rich,moderate,2833,15,furniture/equipment,bad
23,female,2,rent,quite rich,rich,10171,31,car,good
41,male,0,own,moderate,rich,13657,9,education,good
64,female,0,free,quite rich,little,15566,33,radio/TV,bad
70,male,1,rent,quite rich,moderate,14006,7,car,good
48,male,0,free,moderate,little,15598,71,business,bad
36,male,3,rent,moderate,rich,2680,21,radio/TV,good
55,male,2,rent,little,little,7310,62,furniture/equipment,good
29,male,0,rent,moderate,rich,3186,28,business,good
31,female,0,rent,rich,rich,12114,28,radio/TV,good
67,male,3,own,rich,little,9557,26,business,bad
29,female,1,own,little,moderate,6959,30,furniture/equipment,good
73,male,1,rent,quite rich,little,9325,63,car,bad
73,female,2,own,little,little,6866,42,business,good
32,male,3,rent,moderate,moderate,2669,54,car,good
36,male,1,rent,quite rich,moderate,1649,20,furniture/equipment,good
45,female,2,free,little,little,10018,33,furniture/equipment,good
57,female,2,rent,little,rich,18718,9,business,bad
58,male,1,rent,rich,little,14495,52,business,bad
22,male,3,own,little,rich,13228,55,furniture/equipment,bad
22,female,0,rent,quite rich,moderate,14686,65,business,bad
23,male,1,rent,little,moderate,1785,67,business,bad
40,male,0,free,little,rich,8531,48,business,bad
20,female,0,own,moderate,little,15615,63,domestic appliances,bad
54,male,3,own,little,moderate,13700,57,business,good
50,male,3,free,quite rich,rich,4440,51,radio/TV,bad
60,female,2,rent,rich,rich,18288,30,furniture/equipment,good
38,male,3,free,rich,little,10343,30,furniture/equipment,bad
37,female,2,own,rich,rich,11121,40,education,bad
18,female,1,free,rich,rich,7702,66,car,bad
56,male,0,own,moderate,little,4210,20,education,good
64,male,3,free,quite rich,moderate,7084,40,business,bad
34,female,1,rent,moderate,moderate,10814,34,business,bad
46,female,2,rent,rich,moderate,14992,43,radio/TV,good
25,male,3,own,moderate,rich,5341,29,radio/TV,good
43,female,0,free,little,rich,17152,24,radio/TV,good
45,male,1,own,quite rich,little,3960,51,radio/TV,good
51,female,3,rent,little,rich,17463,54,radio/TV,bad
43,female,3,own,moderate,rich,6877,49,radio/TV,good
30,female,1,rent,little,moderate,8238,31,radio/TV,good
61,male,2,own,moderate,rich,3236,30,radio/TV,good
54,female,2,free,moderate,rich,10759,40,domestic appliances,good
30,female,3,rent,quite rich,rich,15550,41,radio/TV,good
55,female,2,own,quite rich,little,12915,19,furniture/equipment,good
42,female,2,rent,quite rich,rich,16810,61,radio/TV,bad
64,male,1,free,rich,little,10763,11,car,bad
40,female,2,rent,quite rich,moderate,10156,37,radio/TV,good
39,male,2,free,little,rich,6420,31,domestic appliances,good
38,female,1,rent,quite rich,little,2873,20,business,bad
71,female,3,free,quite rich,moderate,19412,54,domestic appliances,good
47,male,3,rent,quite rich,rich,15826,61,domestic appliances,bad
28,male,1,free,moderate,little,4615,42,business,good
21,female,0,own,moderate,little,11629,58,radio/TV,good
50,female,1,own,quite rich,moderate,4590,63,radio/TV,good
64,female,0,rent,moderate,rich,5005,41,business,bad
29,male,2,free,moderate,rich,16213,16,car,good
26,female,3,own,rich,rich,9348,32,education,good
49,male,0,rent,little,little,16241,7,furniture/equipment,bad
28,female,0,own,moderate,rich,18509,27,business,bad
54,male,2,free,little,little,4208,71,radio/TV,good
41,male,3,rent,moderate,little,2386,22,furniture/equipment,good
24,male,2,free,quite rich,moderate,11038,9,radio/TV,bad
25,female,3,free,moderate,little,9295,19,education,good
50,female,3,free,moderate,moderate,756,12,education,good
42,male,2,own,little,moderate,8849,21,business,good
18,male,0,rent,quite rich,rich,8965,71,furniture/equipment,good
20,male,1,free,rich,moderate,3300,24,domestic appliances,bad
57,female,3,own,little,rich,15033,6,furniture/equipment,good
45,female,3,free,quite rich,moderate,2647,36,domestic appliances,good
60,female,1,own,quite rich,little,8162,9,education,good
50,male,1,rent,little,rich,1559,63,radio/TV,bad
63,female,2,rent,moderate,little,7452,61,domestic appliances,good
18,female,3,rent,quite rich,rich,7950,58,domestic appliances,bad
55,female,2,rent,rich,little,4968,48,business,bad
70,male,1,free,moderate,moderate,6200,54,car,good
44,female,2,own,little,rich,10483,65,education,good
55,female,3,rent,little,rich,14421,21,domestic appliances,bad
52,female,0,free,little,rich,10976,65,education,good
27,female,0,rent,little,moderate,17389,52,business,bad
29,female,3,rent,rich,little,395,20,radio/TV,good
27,male,2,rent,rich,moderate,12264,68,furniture/equipment,bad
71,male,1,own,quite rich,moderate,2108,33,education,good
51,male,1,own,rich,moderate,4972,25,business,good
41,male,0,own,little,little,3848,68,business,good
45,female,2,rent,rich,moderate,13833,38,business,good
39,female,1,free,moderate,rich,15119,41,furniture/equipment,good
62,male,1,free,moderate,moderate,17263,18,education,good
33,male,3,free,quite rich,little,15466,67,domestic appliances,good
30,male,2,rent,little,rich,11608,28,business,bad
53,female,2,own,rich,little,3768,18,furniture/equipment,good
53,female,1,free,quite rich,moderate,4602,45,radio/TV,bad
60,female,2,rent,quite rich,little,12356,35,car,bad
40,male,2,rent,rich,rich,7679,30,education,good
31,male,2,free,quite rich,little,9346,31,furniture/equipment,bad
49,male,3,free,little,rich,5805,29,car,bad
20,female,1,rent,rich,rich,8247,44,car,bad
44,female,0,free,moderate,moderate,11059,66,furniture/equipment,good
36,male,2,rent,moderate,moderate,16741,54,domestic appliances,bad
39,male,1,free,rich,rich,10118,46,domestic appliances,bad
74,female,0,own,quite rich,little,4445,25,furniture/equipment,good
18,female,3,rent,quite rich,rich,8706,49,furniture/equipment,good
22,male,1,own,moderate,moderate,4071,21,business,bad
66,male,3,free,moderate,little,17310,26,radio/TV,good
50,female,1,rent,little,rich,11928,20,domestic appliances,bad
68,male,3,free,quite rich,moderate,5428,44,business,good
36,male,1,rent,little,rich,11148,47,car,bad
53,female,3,free,moderate,rich,5816,66,car,good
68,male,0,own,moderate,rich,5670,9,car,good
23,female,1,own,moderate,little,857,29,furniture/equipment,good
32,male,0,free,moderate,moderate,5924,8,education,bad
53,female,2,own,little,moderate,2644,6,business,good
73,male,0,own,moderate,rich,11301,18,education,bad
50,male,1,free,rich,rich,8320,59,radio/TV,good
41,male,0,rent,quite rich,rich,10289,45,radio/TV,good
44,female,1,free,moderate,little,2271,16,business,good
66,male,3,rent,quite rich,moderate,19649,47,car,good
28,male,2,own,moderate,rich,16360,9,domestic appliances,good
66,female,0,own,little,moderate,2298,30,radio/TV,good
40,male,2,own,quite rich,rich,1143,41,education,good
50,female,0,own,little,moderate,13293,69,education,bad
58,female,1,own,moderate,rich,12042,49,domestic appliances,good
63,female,0,rent,rich,little,13863,45,furniture/equipment,good
64,male,2,rent,rich,rich,14566,50,car,good
73,female,0,rent,rich,rich,6337,13,furniture/equipment,good
46,male,2,free,rich,rich,3183,40,business,good
48,female,2,own,rich,rich,18915,49,radio/TV,good
18,male,1,own,little,rich,8514,23,domestic appliances,bad
51,female,3,own,rich,moderate,1630,52,domestic appliances,good
35,female,3,free,moderate,moderate,17117,30,domestic appliances,bad
35,male,0,free,little,little,9471,46,furniture/equipment,bad
23,female,2,free,little,rich,12223,10,furniture/equipment,bad
69,male,1,own,rich,moderate,13414,69,business,good
57,female,3,rent,quite rich,moderate,6351,67,education,bad
18,male,1,free,moderate,rich,5204,8,education,good
64,female,1,free,little,rich,6203,42,business,good
59,female,2,rent,moderate,little,6530,46,domestic appliances,good
47,male,0,free,quite rich,little,1028,25,education,good
21,female,2,rent,little,moderate,3725,45,business,good
49,male,3,own,moderate,little,4973,13,education,good
27,male,3,rent,rich,moderate,15140,10,business,bad
60,female,1,rent,little,little,6963,30,education,good
22,female,2,own,little,rich,8851,44,domestic appliances,bad
26,female,2,free,little,little,17693,42,furniture/equipment,good
22,male,1,own,little,moderate,18943,10,furniture/equipment,bad
28,male,0,free,rich,little,18234,13,domestic appliances,bad
52,female,1,free,quite rich,moderate,12985,9,education,good
44,male,1,rent,quite rich,moderate,18867,46,domestic appliances,good
21,female,3,own,moderate,little,9739,65,business,bad
27,female,2,rent,rich,little,14224,59,furniture/equipment,good
56,female,3,own,rich,moderate,16985,27,radio/TV,good
50,male,1,own,moderate,rich,13974,24,education,bad
55,male,2,rent,rich,little,11664,38,radio/TV,good
25,female,1,free,rich,moderate,10873,27,radio/TV,bad
66,male,1,free,little,rich,15645,70,car,good
41,female,0,own,little,moderate,6719,16,radio/TV,bad
56,female,3,free,little,little,10955,21,radio/TV,good
50,male,3,rent,rich,moderate,3416,49,domestic appliances,good
58,female,1,rent,rich,moderate,2459,14,car,good
60,female,0,rent,quite rich,moderate,8997,67,car,good
36,female,1,own,little,little,549,20,car,good
19,female,1,own,moderate,rich,13801,11,business,good
72,female,1,free,rich,rich,813,6,car,good
28,male,0,rent,little,rich,12451,25,domestic appliances,good
52,male,2,rent,quite rich,rich,9464,41,business,bad
34,female,0,own,little,little,17824,7,education,good
59,male,1,own,quite rich,moderate,19844,7,business,good
20,female,2,own,quite rich,rich,10346,8,education,bad
39,female,1,rent,rich,rich,10478,12,car,good
52,female,0,rent,quite rich,little,9468,69,car,good
38,female,0,free,quite rich,moderate,19052,46,education,good
42,male,2,rent,moderate,moderate,14863,59,furniture/equipment,bad
56,male,0,free,quite rich,rich,19197,46,domestic appliances,bad
19,female,1,free,moderate,rich,19585,10,business,bad
18,male,2,rent,moderate,moderate,14343,68,domestic appliances,bad
24,female,3,free,little,little,16903,6,domestic appliances,bad
37,male,1,free,little,moderate,6869,30,radio/TV,bad
60,female,3,own,rich,moderate,9369,51,car,bad
72,female,2,rent,rich,rich,4805,20,business,good
23,female,2,free,rich,little,13577,22,domestic appliances,bad
72,male,1,free,quite rich,little,1292,26,business,bad
53,male,0,free,little,little,5694,58,domestic appliances,good
68,female,1,rent,quite rich,rich,4438,60,car,good
38,male,0,own,little,little,13310,15,domestic appliances,good
68,male,0,own,quite rich,little,10483,62,education,bad
63,male,1,rent,rich,rich,3338,70,car,good
52,male,2,rent,little,moderate,1896,42,business,good
53,male,1,rent,little,little,13377,12,furniture/equipment,bad
25,male,3,rent,moderate,moderate,737,45,domestic appliances,good
67,male,2,own,little,little,15703,55,education,bad
21,male,0,free,little,moderate,19715,6,car,bad
60,male,2,free,quite rich,moderate,1997,25,radio/TV,good
33,male,1,rent,rich,rich,17161,36,car,good
20,male,2,rent,moderate,rich,17801,17,business,bad
24,male,0,free,quite rich,little,16528,27,business,bad
19,male,0,own,little,little,12181,6,radio/TV,bad
18,female,2,rent,quite rich,rich,733,6,education,good
18,female,3,rent,rich,little,701,8,business,good
55,male,0,own,moderate,little,4319,26,education,good
68,male,3,own,quite rich,rich,13636,18,education,bad
24,male,0,own,little,moderate,7457,66,car,good
41,female,2,rent,quite rich,little,4647,18,education,good
22,female,0,own,little,rich,5921,38,domestic appliances,good
38,male,3,rent,moderate,little,19767,11,business,good
45,male,3,rent,moderate,little,18407,30,business,bad
35,male,2,own,quite rich,rich,9440,28,furniture/equipment,good
41,male,3,free,moderate,rich,7662,31,education,bad
49,male,3,own,rich,little,18699,9,furniture/equipment,good
62,female,2,free,quite rich,little,8839,40,car,good
50,male,0,own,little,moderate,15179,30,furniture/equipment,bad
27,female,2,own,quite rich,moderate,6582,25,education,good
26,male,0,rent,little,rich,16229,6,business,good
66,male,0,rent,moderate,little,8163,28,car,good
50,female,0,rent,little,rich,10245,27,education,good
50,female,1,rent,little,rich,2196,67,car,good
24,male,0,rent,little,little,3665,6,radio/TV,bad
21,female,2,rent,little,moderate,1644,64,education,bad
45,male,2,rent,rich,rich,15334,24,radio/TV,good
40,female,2,free,little,rich,2671,35,furniture/equipment,bad
70,female,1,free,quite rich,little,7595,6,education,good
49,male,3,rent,rich,moderate,19717,53,radio/TV,bad
61,male,1,free,little,moderate,8280,24,domestic appliances,good
33,female,2,own,little,little,11230,57,business,good
63,male,2,free,little,rich,2094,27,furniture/equipment,good
72,female,3,rent,rich,little,2054,55,education,bad
27,female,1,free,little,little,9331,71,education,good
31,male,2,own,little,moderate,19137,11,business,bad
56,female,0,free,little,rich,18527,69,business,bad
53,male,0,rent,moderate,rich,18300,26,radio/TV,good
51,male,2,own,quite rich,moderate,4594,24,radio/TV,good
41,female,0,own,little,rich,19699,42,radio/TV,bad
35,male,3,free,quite rich,rich,12083,68,car,bad
33,female,2,own,moderate,little,19709,34,furniture/equipment,bad
58,female,1,own,moderate,little,1509,65,education,good
54,male,2,own,little,little,18854,39,furniture/equipment,good
58,male,3,rent,quite rich,rich,14109,6,business,bad
42,female,1,own,rich,rich,11280,53,domestic appliances,bad
25,male,3,free,little,rich,2697,26,furniture/equipment,good
41,female,0,free,rich,rich,3379,39,furniture/equipment,bad
37,female,0,own,moderate,moderate,18532,31,radio/TV,good
65,female,0,free,moderate,moderate,7947,41,business,good
47,female,3,own,quite rich,rich,4199,28,furniture/equipment,good
37,female,3,free,rich,little,10909,52,education,good
35,male,2,own,rich,little,8260,49,radio/TV,good
21,female,1,own,little,moderate,16650,25,furniture/equipment,bad
65,female,1,own,quite rich,moderate,8209,32,business,good
53,female,3,rent,quite rich,rich,6491,66,domestic appliances,good
23,female,3,free,rich,rich,15037,42,education,good
20,female,0,own,moderate,rich,8156,57,domestic appliances,good
35,female,3,rent,quite rich,rich,19656,67,business,good
64,male,0,rent,moderate,rich,13435,71,business,bad
57,male,3,own,little,little,13553,29,business,good
35,female,1,own,quite rich,little,1516,17,domestic appliances,good
73,female,2,own,quite rich,rich,728,21,car,bad
40,female,3,own,little,little,4227,41,education,good
52,male,0,own,quite rich,rich,6318,7,business,good
